name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Rwanda,2023-03-07,86.4,64.4,76.2,84.5,64.4,75.8,55,49.5,0,0,0,rain,0,0,16.6,8.1,50.4,1016.3,49.3,6.2,282.7,24.2,9,10,2023-03-07T06:06:53,2023-03-07T18:15:03,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-03-08,87.1,64.4,75.9,85.1,64.4,75.5,55.7,51.7,0,0,0,,0,0,16.1,16.1,100.8,1016.3,44.8,6.1,260,22.4,9,10,2023-03-08T06:06:42,2023-03-08T18:14:45,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-03-09,84.2,64.8,73.1,83.5,64.8,73.1,59.5,63.5,0,0,0,rain,0,0,14.1,15,133.9,1017.5,65.1,6.1,240.4,21,9,10,2023-03-09T06:06:31,2023-03-09T18:14:27,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-03-10,81.2,64.4,71,81.5,64.4,71.1,60,69.9,0,0,0,rain,0,0,36.9,23,37.6,1017.1,69,6.6,191.2,16.6,9,30,2023-03-10T06:06:19,2023-03-10T18:14:09,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-03-11,78.8,62.6,68.4,78.8,62.6,68.4,61.3,79.6,0.63,100,8.33,rain,0,0,18.8,13.9,193.3,1017.4,75.9,5.8,192.5,16.6,7,30,2023-03-11T06:06:07,2023-03-11T18:13:50,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HRYR,64387099999"
Rwanda,2023-03-12,80.6,62.6,68,81.8,62.6,68.1,61.7,82.1,1.496,100,12.5,rain,0,0,31.1,18.3,149.2,1018,79.6,6,146.5,12.5,6,30,2023-03-12T06:05:54,2023-03-12T18:13:30,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HRYR,64387099999"
Rwanda,2023-03-13,80.7,62.6,69.8,81.4,62.6,69.9,62,79.4,0.472,100,4.17,rain,0,0,12.1,11.4,34.5,1017.7,67.5,5.9,174.2,15,6,60,2023-03-13T06:05:41,2023-03-13T18:13:11,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HRYR,64387099999"
Rwanda,2023-03-14,79.2,62.6,68.5,79.2,62.6,68.5,61.7,81,0,0,0,rain,0,0,15.2,20.8,54.5,1017.6,72.9,6,199.5,17.2,7,30,2023-03-14T06:05:28,2023-03-14T18:12:51,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-03-15,77,60.8,66.4,77,60.8,66.4,61.8,86.5,0.512,100,4.17,rain,0,0,24.2,12.8,256.7,1018.2,82,5.6,170.4,14.7,8,10,2023-03-15T06:05:15,2023-03-15T18:12:31,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HRYR,64387099999"
Rwanda,2023-03-16,79.2,62.2,70.1,79.2,62.2,70.1,60.9,75.5,0.394,100,8.33,rain,0,0,13.9,8,95.6,1017.2,70.6,5.2,226.4,19.6,9,30,2023-03-16T06:05:01,2023-03-16T18:12:11,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HRYR,64387099999"
Rwanda,2023-03-17,71.6,60.8,65,71.6,60.8,65,61.8,89.9,1.378,100,8.33,rain,0,0,19,10.3,295.6,1018.4,74.3,5.7,170.1,14.7,7,30,2023-03-17T06:04:47,2023-03-17T18:11:50,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HRYR,64387099999"
Rwanda,2023-03-18,77,59,68.1,77,59,68.1,59.6,76.6,0.008,100,8.33,rain,0,0,19,10.3,59.7,1019.1,70.8,5.5,216.1,18.7,8,30,2023-03-18T06:04:33,2023-03-18T18:11:29,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HRYR,64387099999,remote"
Rwanda,2023-03-19,75.2,62.6,68.1,75.2,62.6,68.1,61.1,79.1,0.394,100,4.17,rain,0,0,17.2,9.2,299.4,1019.5,66.9,6,204.6,17.6,7,30,2023-03-19T06:04:19,2023-03-19T18:11:09,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HRYR,64387099999"
Rwanda,2023-03-20,71.7,60.8,64.9,71.7,60.8,64.9,60.1,85.6,0.197,100,4.17,rain,0,0,14.1,9.2,30.3,1020.5,78.4,5.3,169.5,14.5,5,30,2023-03-20T06:04:04,2023-03-20T18:10:48,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HRYR,64387099999"
Rwanda,2023-03-21,77.7,60.7,68,77.7,60.7,68,60.7,79.9,0.024,100,4.17,rain,0,0,13.4,11.4,67.6,1019,82.7,6.3,205.5,17.6,8,30,2023-03-21T06:03:50,2023-03-21T18:10:27,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HRYR,64387099999,remote"
